out_file	out_col	out_header	from_file	from_sheet	from_col	condition	write_mode	flags	status
顧客作品マスタ	L	LP制作	(導出・外部ソースなし)	-	ジャンル + ③シーモアロゴ判定	①ジャンルがTL/BL前置→必要(NFKC+大文字化後の前方一致、TLコミック等も拾う) ②ロゴなし→必要 ③ロゴあり→不要 ④どちらも無し→空(据え置き+LP制作注意)。順序も仕様。③は「有効値」を見る=今回未判定ならシート上の既存③を使う(2026-09-01のバグ修正)。ガワL25は取得先を「出稿コミット管理表」と書くが列挿入時のラベルずれ、実装は導出のまま(2026-09-08確認)	条件	-	OK
顧客作品マスタ	M	タイトル名	②先行タイトル情報(CMS)	★列追加の場合は増渕まで★	タイトル名	原文。rowKey=この列が空欄の行は「データ無し」扱い(CMS 0/5,649行が空欄、タイトルIDは104行空欄のため)。行照合カスケードの第1・3段のキー。改名は上書で追随し、コピーライトマスタ/タイトルマスタへも波及する	上書	rowKey	OK
顧客作品マスタ	N	初回配信巻数	②先行タイトル情報(CMS)	★列追加の場合は増渕まで★	巻数	単独の数字→その数字自身(「1」に限らない) / 「〇〇[区切り]XX」→XX(区切りは ~ ～ 〜 - － _ ＿ ー のいずれも許容。末尾に文言が続いても可、例「1~5(全話一挙配信)」→5) / 「XX巻目[…]」→XX(「話目」は対象外・「1巻完結」も対象外) / それ以外(空欄・数字の直後に区切りでも巻目でもない文言・Sheetsが日付化したセル)→顧客確認。空欄にならない(2026-09-02実装、区切り文字追加と3ルール逆転は2026-09-04)。要注意: 44563等のExcelシリアル値が生の数字として紛れ込んだ場合も「その数字自身」として通過する — 上限値によるガードは未実装・要判断	上書	-	OK
顧客作品マスタ	O	作家名	②先行タイトル情報(CMS)	★列追加の場合は増渕まで★	作家名	原文。自由書式(「原作：」「/」「┴」混在) — 分解しない	上書	-	OK
顧客作品マスタ	P	ジャンル	②先行タイトル情報(CMS)	★列追加の場合は増渕まで★	ジャンル	原文。LP制作列の判定入力	上書	-	OK
顧客作品マスタ	Q	出版社	②先行タイトル情報(CMS)	★列追加の場合は増渕まで★	出版社	原文。コピーライトマスタ 出版社コピーライト列のルール検索キー。第3段(逆引き)ではこの値をルール側の雑誌名/レーベルと突き合わせる	上書	-	OK
顧客作品マスタ	R	レーベル名	②先行タイトル情報(CMS)	★列追加の場合は増渕まで★	レーベル名	原文。コピーライトマスタ 出版社コピーライト列 第1段の副キー	上書	-	OK
顧客作品マスタ	S	先行開始日	②先行タイトル情報(CMS)	★列追加の場合は増渕まで★	先行開始日	原文	上書	date	OK
顧客作品マスタ	T	先行終了日	②先行タイトル情報(CMS)	★列追加の場合は増渕まで★	先行終了日	原文	上書	date	OK
顧客作品マスタ	U	先行終了日（延長）	⑥【先行作品】独占期間の延長	Sheet1	1回目〜n回目	タイトルID数値一致。期日のある最終回が勝ち。NG/自由記述セルは無視(スキップして走査継続)。原文のまま	上書	date keep	OK
顧客作品マスタ	V	先行終了日（最終確定）	(導出)	-	U列 or T列	U非空→V=U / U空かつT非空→V=T / 両方空→空	上書	date	OK
顧客作品マスタ	W	大量無料開始日	⑦大量無料希望作品リスト_CA様	★出稿回答シート	キャンペーン開始日	タイトルID数値一致。出稿回答=✕×✗Xxの行を除外(空欄行は採用)。同一IDを全期合算して最小値	上書	date keep	OK
顧客作品マスタ	X	大量無料終了日	⑦大量無料希望作品リスト_CA様	★出稿回答シート	キャンペーン終了日	同上、最大値。W/Xは独立に決定(同一行のペアではない)	上書	date keep	OK
コピーライトマスタ	B	タイトルNo	顧客作品マスタ	顧客作品マスタ	タイトルNo	結合キー。独自キーは持たない(GAS❶の採番後に構築)。rowKey=この列が空欄の行は「データ無し」扱い(タイトル名ではない — 2026-09-02の回帰修正)。対応作品が無い行は孤立行として警告(削除しない、20件超は1行に集約)	上書	rowKey	OK
コピーライトマスタ	C	CMS ID	顧客作品マスタ	顧客作品マスタ	CMS ID	原文転記	上書	-	OK
コピーライトマスタ	D	タイトルID	顧客作品マスタ	顧客作品マスタ	タイトルID	原文転記	上書	-	OK
コピーライトマスタ	E	タイトル名	顧客作品マスタ	顧客作品マスタ	タイトル名	原文転記	上書	-	OK
コピーライトマスタ	F	作家名	顧客作品マスタ	顧客作品マスタ	作家名	原文転記	上書	-	OK
コピーライトマスタ	G	ジャンル	顧客作品マスタ	顧客作品マスタ	ジャンル	原文転記	上書	-	OK
コピーライトマスタ	H	出版社	顧客作品マスタ	顧客作品マスタ	出版社	原文転記	上書	-	OK
コピーライトマスタ	I	レーベル名	顧客作品マスタ	顧客作品マスタ	レーベル名	原文転記	上書	-	OK
コピーライトマスタ	J	タイトル個別コピーライト(あれば優先使用)	②先行タイトル情報(CMS)	★列追加の場合は増渕まで★	コピーライト	原文のまま。生成も加工もしない。値があればこれが「有効コピーライト」	上書	-	OK
コピーライトマスタ	K	出版社コピーライト	④出版社別コピーライトマスタ(ガワ内シート20)	出版社別コピーライトマスタ	テンプレート(+出版社/雑誌名レーベル/自動化フラグ)	毎回再生成。ルール検索は3段：①出版社+レーベルが一致→②出版社一致かつルール側レーベルが空欄→③逆引き(ルール側の雑誌名/レーベル＝作品の出版社。該当ルールが1件のときだけ採用、2件以上は不採用+警告)。第3段は「ルール側の出版社列=親会社／雑誌名/レーベル列=CMSが出版社として持つ名前」という実データを拾うため(16/292社が該当: BookLive Link・RIDI・マンガボックス・PEANUTOON・futohsha等、2026-09-08確定)。空になる4ケース=3段とも該当なし(ルール無し)/自動化フラグが01始まり以外/テンプレートに©が無い/埋められないプレースホルダあり、全て警告。ルール無しの(出版社,レーベル)はシート最下部へ自動追記(他列は空のままなので次回は「個別ルール」となり©は生成されない)＋Slack通知	上書	-	要対応 第3段と自動追記が未実装
コピーライトマスタ	L	出版社事前確認	④出版社別コピーライトマスタ(ガワ内シート20)	出版社別コピーライトマスタ	(出版社)事前確認	Kと同じ3段検索。ただし自動化フラグ/テンプレート状態は無視(個別ルールでも事前確認は有効)。必要/不要を原文転記。optional列=シートに無ければ書かず差分比較からも除外。ガワで配置変更＝出版社コピーライトの直後へ移動(旧: コピーライト_過去分5の後ろ。2026-09-08フォーマット統一済み)	上書	optional	要対応 3段検索が未実装
コピーライトマスタ	M	コピーライト_過去分1	(自シートの旧値)	コピーライトマスタ	旧・有効コピーライト	有効コピーライト(J優先、無ければK)が実際に変わった時のみ1段シフト。©表記ゆれ・不可視文字だけの差は「変化なし」。skipCompare=この列自体は「書くかどうか」の判断に参加しない(参加させると 書く→読む→また違う の無限ループになる)	上書	skipCompare	OK
コピーライトマスタ	N	コピーライト_過去分2	(自シートの旧値)	コピーライトマスタ	過去分1	同上	上書	skipCompare	OK
コピーライトマスタ	O	コピーライト_過去分3	(自シートの旧値)	コピーライトマスタ	過去分2	同上	上書	skipCompare	OK
コピーライトマスタ	P	コピーライト_過去分4	(自シートの旧値)	コピーライトマスタ	過去分3	同上	上書	skipCompare	OK
コピーライトマスタ	Q	コピーライト_過去分5	(自シートの旧値)	コピーライトマスタ	過去分4	同上。6件目以降は削除(ガワB10の指定)	上書	skipCompare	OK
タイトルマスタ	B	タイトルNo	顧客作品マスタ	顧客作品マスタ	タイトルNo	結合キー・rowKey。欠落→行スキップ+警告、重複→先頭行勝ち+警告	上書	rowKey	OK
タイトルマスタ	C	CMS ID	顧客作品マスタ	顧客作品マスタ	CMS ID	原文転記	上書	-	OK
タイトルマスタ	D	タイトルID	顧客作品マスタ	顧客作品マスタ	タイトルID	原文転記	上書	-	OK
タイトルマスタ	E	素材共有日	顧客作品マスタ	顧客作品マスタ	素材共有日	顧客作品マスタの同名列を写す(write-once：この列が既に埋まっていれば絶対に触らない)。ソースが空欄(列追加前の既存行)のときだけGAS❷が実行日を押す＝従来の挙動をフォールバックとして残す。旧名マスタ追加日→シート側が2026-08-31に改名、両者は同一とユーザー確定(2026-09-02)	1回	-	要対応 現状はGAS❷の自前スタンプのみ
タイトルマスタ	F	タイトル区分	顧客作品マスタ	顧客作品マスタ	タイトル区分	原文転記	上書	-	OK
タイトルマスタ	G	①広告出稿ポリシー	顧客作品マスタ	顧客作品マスタ	①広告出稿ポリシー	原文転記。ガワのタイトルマスタにレギュレーション判定状況列は無い=意図的に転記しない(判定の鮮度確認は顧客作品マスタのレギュレーション判定状況列で行う)	上書	-	OK
タイトルマスタ	H	②一般面出稿NG	顧客作品マスタ	顧客作品マスタ	②一般面出稿NG	原文転記	上書	-	OK
タイトルマスタ	I	③シーモアロゴ判定	顧客作品マスタ	顧客作品マスタ	③シーモアロゴ判定	原文転記	上書	-	OK
タイトルマスタ	J	掲載停止日付	顧客作品マスタ	顧客作品マスタ	掲載停止日付	原文転記。差分判定は年月日で比較	上書	date	OK
タイトルマスタ	K	LP制作	顧客作品マスタ	顧客作品マスタ	LP制作	原文転記	上書	-	OK
タイトルマスタ	L	タイトル名	顧客作品マスタ	顧客作品マスタ	タイトル名	原文転記	上書	-	OK
タイトルマスタ	M	タイトルキー	(未定)	-	-	13行目は「制御シート」(手動)、M29は「→GASで更新」— 矛盾。現状GAS❷は触らない	-	-	未実装
タイトルマスタ	N	初回配信巻数	顧客作品マスタ	顧客作品マスタ	初回配信巻数	原文転記。GAS❷はCMSを読まない=計算はGAS❶の同名列が一度だけ行い、こちらは写すのみ	上書	-	OK
タイトルマスタ	O	作家名	顧客作品マスタ	顧客作品マスタ	作家名	原文転記	上書	-	OK
タイトルマスタ	P	ジャンル	顧客作品マスタ	顧客作品マスタ	ジャンル	原文転記	上書	-	OK
タイトルマスタ	Q	出版社	顧客作品マスタ	顧客作品マスタ	出版社	原文転記	上書	-	OK
タイトルマスタ	R	レーベル名	顧客作品マスタ	顧客作品マスタ	レーベル名	原文転記	上書	-	OK
タイトルマスタ	S	出版社コピーライト	コピーライトマスタ	コピーライトマスタ	出版社コピーライト	原文転記。副ソース読取失敗時は書かず現状維持	上書	-	OK
タイトルマスタ	T	タイトル個別コピーライト(あれば優先使用)	コピーライトマスタ	コピーライトマスタ	タイトル個別コピーライト(あれば優先使用)	原文転記。括弧は半角()	上書	-	OK
タイトルマスタ	U	先行開始日	顧客作品マスタ	顧客作品マスタ	先行開始日	原文転記。差分判定は年月日	上書	date	OK
タイトルマスタ	V	先行終了日	顧客作品マスタ	顧客作品マスタ	先行終了日	原文転記。差分判定は年月日	上書	date	OK
タイトルマスタ	W	先行終了日（延長）	顧客作品マスタ	顧客作品マスタ	先行終了日（延長）	原文転記。括弧は全角（）	上書	date	OK
タイトルマスタ	X	先行終了日（最終確定）	顧客作品マスタ	顧客作品マスタ	先行終了日（最終確定）	原文転記	上書	date	OK
タイトルマスタ	Y	大量無料開始日	顧客作品マスタ	顧客作品マスタ	大量無料開始日	原文転記	上書	date	OK
タイトルマスタ	Z	大量無料終了日	顧客作品マスタ	顧客作品マスタ	大量無料終了日	原文転記	上書	date	OK
タイトルマスタ	AA	出版社事前確認	コピーライトマスタ	コピーライトマスタ	出版社事前確認	ソースに当列が無ければAAのみスキップ(S/Tは書く)	上書	optional	OK ソース列は追加済み(2026-09-01確認)
タイトルマスタ	AB	GDN(CM)	媒体除外マスタ	媒体除外マスタ	ロゴ有無 × ジャンル → 除外媒体	除外対象なら× / 対象外なら〇。spreadsheetId未設定 + ルール4点未確定	-	-	未実装
タイトルマスタ	AC	デマジェン	媒体除外マスタ	媒体除外マスタ	同上	同上	-	-	未実装
タイトルマスタ	AD	YDA	媒体除外マスタ	媒体除外マスタ	同上	同上。ソースは YDA（LINE面）/YDA（Y面）を区別するがマスタ側は YDA 1列のみ	-	-	未実装
タイトルマスタ	AE	Meta	媒体除外マスタ	媒体除外マスタ	同上	同上	-	-	未実装
タイトルマスタ	AF	TikTok	媒体除外マスタ	媒体除外マスタ	同上	同上。ソース表記は Tiktok	-	-	未実装
タイトルマスタ	AG	X	媒体除外マスタ	媒体除外マスタ	同上	同上	-	-	未実装
タイトルマスタ	AH	新規媒体	(未定)	-	-	4列とも同名ヘッダ。サンプルは「-」	-	-	未実装
タイトルマスタ	AI	新規媒体	(未定)	-	-	同上	-	-	未実装
タイトルマスタ	AJ	新規媒体	(未定)	-	-	同上	-	-	未実装
タイトルマスタ	AK	新規媒体	(未定)	-	-	同上	-	-	未実装
(列を持たないソース)	-	外部出稿NG注意(GAS1警告)	③出版社からの追記ルールと外部出稿NGタイトル	外部出稿用NGタイトル	備考	タイトルID→タイトル名の順で突き合わせ、備考があれば警告1行。マスタ側に列は作らない(旧・顧客作品マスタ備考列はガワから削除済み、spec §10a)。ガワには記載が無いが運用上必要なためロジック維持を2026-09-08確定	-	-	OK
